Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_Y,RMSE_Z
POLI,VERAO,7,2020-01-08,0.11436541238493121,0.13509871025560108,0.06959918502066434
POLI,VERAO,8,2020-01-08,0.115669715497435,0.14132727090780112,0.07009902772671017
POLI,VERAO,9,2020-01-08,0.14334927092462718,0.13468875050696416,0.07048528578472318
POLI,VERAO,10,2020-01-08,0.10214324007669179,0.12712696353667266,0.05964111811053273
POLI,VERAO,11,2020-01-08,0.10342290627006771,0.1260997589456911,0.059699109667158384
POLI,VERAO,12,2020-01-15,0.12101585168957034,0.1297979774110761,0.0630683323025004
POLI,VERAO,13,2020-01-15,0.09570059027933997,0.12888803538912602,0.060906958265807
POLI,VERAO,14,2020-01-15,0.10373103162247753,0.13610783750342023,0.07583185725504842
POLI,VERAO,15,2020-01-15,0.10252184609508963,0.1254371379664109,0.06247836313114673
POLI,VERAO,16,2020-01-15,0.09082037690698899,0.12798022674307147,0.07015020876143989
POLI,VERAO,17,2020-01-15,0.10924283627865318,0.12202482202205944,0.06435428070895552
POLI,VERAO,18,2020-01-15,0.10142637909537025,0.11465574456621225,0.05904778735637201
POLI,VERAO,19,2020-01-22,0.09465146620256278,0.10300292698131629,0.05440529859905018
POLI,VERAO,20,2020-01-22,0.09715745370022806,0.11720091971285007,0.058941552184393425
POLI,VERAO,21,2020-01-22,0.09802337593907613,0.11781381022952639,0.05733174417361079
POLI,VERAO,22,2020-01-22,0.08637010494456737,0.11597889327303589,0.06667593273546932
POLI,VERAO,23,2020-01-22,0.0915589035856754,0.1129819598996214,0.06368837986796205
POLI,VERAO,24,2020-01-22,0.09197388876606474,0.12110050532510144,0.0632284125124647
POLI,VERAO,25,2020-01-22,0.08980626447429112,0.11730945911991601,0.06140705754363149
POLI,VERAO,26,2020-01-29,0.09185027185789603,0.11930775592921827,0.060435092070080056
POLI,VERAO,27,2020-01-29,0.08551572977265023,0.10586238253118727,0.06037704615711349
POLI,VERAO,28,2020-01-29,0.08553152672966667,0.11899452323654931,0.05958601644896931
POLI,VERAO,29,2020-01-29,0.08441830646969038,0.10922760922268875,0.06206537520810079
POLI,VERAO,30,2020-01-29,0.09301384379154953,0.11768673292123173,0.06464587792809835
POLI,VERAO,31,2020-01-29,0.08387222968529552,0.1215931621658524,0.06325001583344937
BRAZ,INVERNO,183,2020-07-01,0.09549071728051747,0.15906239190945404,0.054480096301176804
BRAZ,INVERNO,184,2020-07-01,0.0901026415577585,0.15417390251515373,0.05668402239027028
BRAZ,INVERNO,185,2020-07-01,0.09445806184795688,0.15730837187100377,0.05765149914397728
BRAZ,INVERNO,186,2020-07-01,0.08785978823730799,0.16039868509770558,0.05850541244377698
BRAZ,INVERNO,187,2020-07-08,0.09456934357014635,0.16243984311091475,0.05401458244478287
BRAZ,INVERNO,188,2020-07-08,0.09491773193780369,0.16937652939539483,0.057119384008373415
BRAZ,INVERNO,189,2020-07-08,0.0898071104918513,0.16120087051840648,0.05573891107021679
BRAZ,INVERNO,190,2020-07-08,0.09190099635520638,0.1662918180336277,0.05579166920399036
BRAZ,INVERNO,191,2020-07-08,0.09645053724501056,0.22062271915575601,0.0693941020254437
