Mes_Pasta,Estacao,Arquivo,DOY,Data,Mes_Arquivo
VERAO,SSA1,ssa1013_delays.txt,13,2020-01-13,January
VERAO,SSA1,ssa1029_delays.txt,29,2020-01-29,January
VERAO,SSA1,ssa1028_delays.txt,28,2020-01-28,January
VERAO,SSA1,ssa1018_delays.txt,18,2020-01-18,January
VERAO,SSA1,ssa1005_delays.txt,5,2020-01-05,January
VERAO,SSA1,ssa1004_delays.txt,4,2020-01-04,January
VERAO,SSA1,ssa1019_delays.txt,19,2020-01-19,January
VERAO,SSA1,ssa1009_delays.txt,9,2020-01-09,January
VERAO,SSA1,ssa1008_delays.txt,8,2020-01-08,January
VERAO,SSA1,ssa1002_delays.txt,2,2020-01-02,January
VERAO,SSA1,ssa1026_delays.txt,26,2020-01-26,January
VERAO,SAGA,saga012_delays.txt,12,2020-01-12,January
VERAO,SAGA,saga017_delays.txt,17,2020-01-17,January
VERAO,SAGA,saga006_delays.txt,6,2020-01-06,January
VERAO,SAGA,saga024_delays.txt,24,2020-01-24,January
VERAO,SAGA,saga003_delays.txt,3,2020-01-03,January
VERAO,SAGA,saga020_delays.txt,20,2020-01-20,January
VERAO,SAGA,saga015_delays.txt,15,2020-01-15,January
VERAO,SAGA,saga004_delays.txt,4,2020-01-04,January
VERAO,SAGA,saga028_delays.txt,28,2020-01-28,January
VERAO,SAGA,saga030_delays.txt,30,2020-01-30,January
VERAO,SAGA,saga008_delays.txt,8,2020-01-08,January
VERAO,SAGA,saga018_delays.txt,18,2020-01-18,January
VERAO,SAGA,saga014_delays.txt,14,2020-01-14,January
VERAO,SAGA,saga010_delays.txt,10,2020-01-10,January
VERAO,SAGA,saga005_delays.txt,5,2020-01-05,January
VERAO,SAGA,saga029_delays.txt,29,2020-01-29,January
VERAO,SAGA,saga023_delays.txt,23,2020-01-23,January
VERAO,SAGA,saga013_delays.txt,13,2020-01-13,January
VERAO,SAGA,saga002_delays.txt,2,2020-01-02,January
VERAO,SAGA,saga021_delays.txt,21,2020-01-21,January
VERAO,SAGA,saga025_delays.txt,25,2020-01-25,January
VERAO,SAGA,saga011_delays.txt,11,2020-01-11,January
VERAO,SAGA,saga019_delays.txt,19,2020-01-19,January
VERAO,SAGA,saga016_delays.txt,16,2020-01-16,January
VERAO,SAGA,saga001_delays.txt,1,2020-01-01,January
VERAO,SAGA,saga027_delays.txt,27,2020-01-27,January
VERAO,SAGA,saga009_delays.txt,9,2020-01-09,January
VERAO,SAGA,saga022_delays.txt,22,2020-01-22,January
VERAO,SAGA,saga031_delays.txt,31,2020-01-31,January
VERAO,SAGA,saga026_delays.txt,26,2020-01-26,January
VERAO,SAGA,saga007_delays.txt,7,2020-01-07,January
VERAO,POLI,poli003_delays.txt,3,2020-01-03,January
VERAO,POLI,poli015_delays.txt,15,2020-01-15,January
VERAO,POLI,poli009_delays.txt,9,2020-01-09,January
VERAO,POLI,poli010_delays.txt,10,2020-01-10,January
VERAO,POLI,poli012_delays.txt,12,2020-01-12,January
VERAO,POLI,poli002_delays.txt,2,2020-01-02,January
VERAO,POLI,poli011_delays.txt,11,2020-01-11,January
VERAO,POLI,poli004_delays.txt,4,2020-01-04,January
VERAO,POLI,poli025_delays.txt,25,2020-01-25,January
VERAO,POLI,poli017_delays.txt,17,2020-01-17,January
VERAO,POLI,poli024_delays.txt,24,2020-01-24,January
VERAO,POLI,poli030_delays.txt,30,2020-01-30,January
VERAO,POLI,poli008_delays.txt,8,2020-01-08,January
VERAO,POLI,poli013_delays.txt,13,2020-01-13,January
VERAO,POLI,poli027_delays.txt,27,2020-01-27,January
VERAO,POLI,poli023_delays.txt,23,2020-01-23,January
VERAO,POLI,poli018_delays.txt,18,2020-01-18,January
VERAO,POLI,poli022_delays.txt,22,2020-01-22,January
VERAO,POLI,poli007_delays.txt,7,2020-01-07,January
VERAO,POLI,poli031_delays.txt,31,2020-01-31,January
VERAO,POLI,poli005_delays.txt,5,2020-01-05,January
VERAO,POLI,poli029_delays.txt,29,2020-01-29,January
VERAO,POLI,poli021_delays.txt,21,2020-01-21,January
VERAO,POLI,poli026_delays.txt,26,2020-01-26,January
VERAO,POLI,poli001_delays.txt,1,2020-01-01,January
VERAO,POLI,poli020_delays.txt,20,2020-01-20,January
VERAO,POLI,poli014_delays.txt,14,2020-01-14,January
VERAO,POLI,poli028_delays.txt,28,2020-01-28,January
VERAO,POLI,poli016_delays.txt,16,2020-01-16,January
VERAO,POLI,poli006_delays.txt,6,2020-01-06,January
VERAO,POLI,poli019_delays.txt,19,2020-01-19,January
INVERNO,BRAZ,braz195_delays.txt,195,2020-07-13,July
INVERNO,BRAZ,braz209_delays.txt,209,2020-07-27,July
INVERNO,BRAZ,braz204_delays.txt,204,2020-07-22,July
INVERNO,BRAZ,braz190_delays.txt,190,2020-07-08,July
INVERNO,BRAZ,braz202_delays.txt,202,2020-07-20,July
INVERNO,BRAZ,braz194_delays.txt,194,2020-07-12,July
INVERNO,BRAZ,braz187_delays.txt,187,2020-07-05,July
INVERNO,BRAZ,braz201_delays.txt,201,2020-07-19,July
INVERNO,BRAZ,braz197_delays.txt,197,2020-07-15,July
INVERNO,BRAZ,braz192_delays.txt,192,2020-07-10,July
INVERNO,BRAZ,braz186_delays.txt,186,2020-07-04,July
INVERNO,BRAZ,braz183_delays.txt,183,2020-07-01,July
INVERNO,BRAZ,braz199_delays.txt,199,2020-07-17,July
INVERNO,BRAZ,braz200_delays.txt,200,2020-07-18,July
INVERNO,BRAZ,braz196_delays.txt,196,2020-07-14,July
INVERNO,BRAZ,braz212_delays.txt,212,2020-07-30,July
INVERNO,BRAZ,braz188_delays.txt,188,2020-07-06,July
INVERNO,BRAZ,braz207_delays.txt,207,2020-07-25,July
INVERNO,BRAZ,braz191_delays.txt,191,2020-07-09,July
INVERNO,BRAZ,braz206_delays.txt,206,2020-07-24,July
INVERNO,BRAZ,braz185_delays.txt,185,2020-07-03,July
INVERNO,BRAZ,braz205_delays.txt,205,2020-07-23,July
INVERNO,BRAZ,braz213_delays.txt,213,2020-07-31,July
INVERNO,BRAZ,braz210_delays.txt,210,2020-07-28,July
INVERNO,BRAZ,braz184_delays.txt,184,2020-07-02,July
INVERNO,BRAZ,braz189_delays.txt,189,2020-07-07,July
INVERNO,BRAZ,braz193_delays.txt,193,2020-07-11,July
INVERNO,BRAZ,braz208_delays.txt,208,2020-07-26,July
INVERNO,BRAZ,braz198_delays.txt,198,2020-07-16,July
INVERNO,BRAZ,braz203_delays.txt,203,2020-07-21,July
INVERNO,BRAZ,braz211_delays.txt,211,2020-07-29,July
INVERNO,CUIB,cuib195_delays.txt,195,2020-07-13,July
INVERNO,CUIB,cuib189_delays.txt,189,2020-07-07,July
INVERNO,CUIB,cuib199_delays.txt,199,2020-07-17,July
INVERNO,CUIB,cuib203_delays.txt,203,2020-07-21,July
INVERNO,CUIB,cuib192_delays.txt,192,2020-07-10,July
INVERNO,CUIB,cuib211_delays.txt,211,2020-07-29,July
INVERNO,CUIB,cuib193_delays.txt,193,2020-07-11,July
INVERNO,CUIB,cuib208_delays.txt,208,2020-07-26,July
INVERNO,CUIB,cuib213_delays.txt,213,2020-07-31,July
INVERNO,CUIB,cuib190_delays.txt,190,2020-07-08,July
INVERNO,CUIB,cuib204_delays.txt,204,2020-07-22,July
INVERNO,CUIB,cuib197_delays.txt,197,2020-07-15,July
INVERNO,CUIB,cuib201_delays.txt,201,2020-07-19,July
INVERNO,CUIB,cuib205_delays.txt,205,2020-07-23,July
INVERNO,CUIB,cuib198_delays.txt,198,2020-07-16,July
INVERNO,CUIB,cuib206_delays.txt,206,2020-07-24,July
INVERNO,CUIB,cuib188_delays.txt,188,2020-07-06,July
INVERNO,CUIB,cuib187_delays.txt,187,2020-07-05,July
INVERNO,CUIB,cuib186_delays.txt,186,2020-07-04,July
INVERNO,CUIB,cuib212_delays.txt,212,2020-07-30,July
INVERNO,CUIB,cuib207_delays.txt,207,2020-07-25,July
INVERNO,CUIB,cuib185_delays.txt,185,2020-07-03,July
INVERNO,CUIB,cuib194_delays.txt,194,2020-07-12,July
INVERNO,CUIB,cuib183_delays.txt,183,2020-07-01,July
INVERNO,CUIB,cuib209_delays.txt,209,2020-07-27,July
INVERNO,CUIB,cuib202_delays.txt,202,2020-07-20,July
INVERNO,CUIB,cuib184_delays.txt,184,2020-07-02,July
INVERNO,CUIB,cuib196_delays.txt,196,2020-07-14,July
INVERNO,CUIB,cuib200_delays.txt,200,2020-07-18,July
INVERNO,CUIB,cuib191_delays.txt,191,2020-07-09,July
INVERNO,CUIB,cuib210_delays.txt,210,2020-07-28,July
INVERNO,UFPR,ufpr191_delays.txt,191,2020-07-09,July
INVERNO,UFPR,ufpr209_delays.txt,209,2020-07-27,July
INVERNO,UFPR,ufpr193_delays.txt,193,2020-07-11,July
INVERNO,UFPR,ufpr213_delays.txt,213,2020-07-31,July
INVERNO,UFPR,ufpr196_delays.txt,196,2020-07-14,July
INVERNO,UFPR,ufpr205_delays.txt,205,2020-07-23,July
INVERNO,UFPR,ufpr190_delays.txt,190,2020-07-08,July
INVERNO,UFPR,ufpr184_delays.txt,184,2020-07-02,July
INVERNO,UFPR,ufpr195_delays.txt,195,2020-07-13,July
INVERNO,UFPR,ufpr212_delays.txt,212,2020-07-30,July
INVERNO,UFPR,ufpr208_delays.txt,208,2020-07-26,July
INVERNO,UFPR,ufpr187_delays.txt,187,2020-07-05,July
